Date,Open,High,Low,Close,Adj Close,Volume,stock
2003-07-14,762.059998,860.390991,762.059998,835.807983,511.559479,599169022.0,BMRI.JK
2003-07-15,860.390991,884.973022,835.807983,835.807983,511.559479,210456384.0,BMRI.JK
2003-07-16,835.807983,835.807983,811.224976,811.224976,496.513275,36753657.0,BMRI.JK
2003-07-17,811.224976,835.807983,811.224976,835.807983,511.559479,55547956.0,BMRI.JK
2003-07-18,811.224976,835.807983,811.224976,835.807983,511.559479,20569946.0,BMRI.JK
2003-07-21,835.807983,860.390991,811.224976,835.807983,511.559479,50331357.0,BMRI.JK
2003-07-22,835.807983,835.807983,811.224976,835.807983,511.559479,703750.0,BMRI.JK
2003-07-23,811.224976,835.807983,811.224976,835.807983,511.559479,49519299.0,BMRI.JK
2003-07-24,811.224976,811.224976,762.059998,811.224976,496.513275,91004964.0,BMRI.JK
2003-07-25,786.643005,811.224976,786.643005,811.224976,496.513275,60936425.0,BMRI.JK
2003-07-28,786.643005,811.224976,762.059998,786.643005,481.467957,17739182.0,BMRI.JK
2003-07-29,786.643005,786.643005,762.059998,786.643005,481.467957,19118716.0,BMRI.JK
2003-07-30,762.059998,762.059998,712.89502,762.059998,466.421631,73552062.0,BMRI.JK
2003-07-31,737.478027,762.059998,737.478027,762.059998,466.421631,14912486.0,BMRI.JK
2003-08-01,737.478027,762.059998,737.478027,762.059998,466.421631,19160920.0,BMRI.JK
2003-08-04,762.059998,762.059998,712.89502,762.059998,466.421631,66308621.0,BMRI.JK
2003-08-05,737.478027,786.643005,712.89502,737.478027,451.376129,110334194.0,BMRI.JK
2003-08-06,737.478027,737.478027,688.312012,737.478027,451.376129,136265659.0,BMRI.JK
2003-08-07,737.478027,762.059998,737.478027,762.059998,466.421631,40464109.0,BMRI.JK
2003-08-08,762.059998,762.059998,737.478027,762.059998,466.421631,4225552.0,BMRI.JK
2003-08-11,737.478027,762.059998,737.478027,762.059998,466.421631,2869409.0,BMRI.JK
2003-08-12,737.478027,762.059998,737.478027,762.059998,466.421631,12900900.0,BMRI.JK
2003-08-13,762.059998,762.059998,737.478027,762.059998,466.421631,6929702.0,BMRI.JK
2003-08-14,737.478027,762.059998,737.478027,762.059998,466.421631,7621248.0,BMRI.JK
2003-08-15,737.478027,762.059998,737.478027,762.059998,466.421631,7433107.0,BMRI.JK
2003-08-18,,,,,,,BMRI.JK
